Article,Label
"Apple Rolls Out New ‘Adult’ Emojis In Attempt to Prevent Teens from Sexting With Real Photos
In an apparent bid to stop teenage sexting, Apple plans on rolling out a new range of raunchy emojis, displaying various sex acts. The move comes after a scandal at an elementary school in Wisconsin, where nude photos of school goers landed up on Facebook, sparking shame and outcry.“It’s for the safety of the kids. As adults we know how dangerous it is for us to make compromising pictures available, but children don’t realize it could come back to haunt them,” said one Apple executive. “Since promoting abstinence has not made a significant difference, we’re now implementing new ways of practicing safe sexting.”In order to make the range as relevant as possible, the new emojis will feature, in addition to a huge variety of homo- and heterosexual acts, genitalia of three different sizes – small, medium and large.“We want them to be personal,” said project manager, Brian McAlly. “A boy with a small penis, sending to a girl with a large vagina, cannot be sending a picture of a large member penetrating a tight hole. That won’t do for him – he wants the girl to see as accurate a representation of his junk as possible, and visualize her orifice as realistically as possible.”Parents have been unanimous in their support of the move. At a recent PTA meeting at a school in New York, parental rep Molly Gingrich announced the group’s satisfaction at the development.“When I saw Jimmy’s penis on my Anna’s phone, I got the shock of my life,” she said to shouts of agreement. “He has a hideous dick, which subsequently ended up on Tumblr. And I worried that my daughter’s ugly vagina might share the same fate. It might ruin her chances of having the busy sex life I know she doesn’t deserve.”The teaching body, however, disagreed.“I’ve said it once and I’ll say it again,” principal John Skinner pronounced. “Sexting is part of regular teenage behavior. It should not be reduced into tiny representations of dirty coitus. My colleagues and I often keep tabs on the images that are making the rounds, and have seen nothing wrong in them. If anything, our students do a good job at photographing their junk from the most flattering angle possible.”At press time, parents were browsing some of the teachers’ favorites, and had agreed that actually, they can be proud of the publicity of their children’s’ genitals.",tech_s
"Texas to Pass “Name Your Fetus” Bill
State legislators in Texas will vote on an anti-abortion bill that some opponents are saying is “the most draconian law” in Texas’ history, as it makes abortions significantly more challenging for women to obtain.  But despite their protests, analysts are now saying the bill will likely overwhelmingly pass when it’s up for vote on June 16th. The “Right to Life Act of 2014,” which has taken on the nickname of “the name your fetus bill,” was proposed last year by Texas State Senator and local Tea Party favorite Dennis Kilmeade (R).  If passed, it would mandate that women seeking an abortion must not only hear their fetus’ heartbeat, but must also come up with male and female baby names, speak with at least one faculty member from the local school district, and examine no fewer than 30 baby photos. But what’s arguably the most heatedly-debated rule?  The woman would also be required to write her excuse for getting the abortion, and submit it to a judge.  While the judge cannot decide the woman’s fate, he or she can, at their sole discretion, pass the letter on to the county clerk, with orders to publish the woman’s name, photo, and the name of her fetus on a website. The bill has been quietly debated in closed sessions in Texas’ capital building for months.  Democrats fervently opposed it, and hold barely enough seats to filibuster the vote.  But reports indicate the Democratic Party leadership caved in April after Republicans made a number of concessions in the bill, stripping away a mandatory night in jail, a ban on welfare benefits, and mandated attendance at church services. Local Democrats are not pleased.  “This is one of the most ridiculous laws I’ve ever heard of.  How the Democrats could cave like this is beyond anyone,” said abortion doctor Alison Ames of Galveston, Texas.  “Come on… mandatory jail time?  Forced church attendance?  Have these people read the Constitution?  This is absurd.” But Republicans are adamant their law is a game changer.  “This could spread nationally, once people see the success we’ll have with the law,” Kilmeade claimed during a recent interview with Fox News.  “At the end of the day, this is an honest Christian nation with good Christian morals and values.  It’s not our fault if some people fail to see that and let the devil between their legs.  We can’t ban abortion, but this is the next best thing.  And these women will all be happier for it, they’ll see that in the end.”",pol_s
"Kate Middleton denies palace tryst
The royals are not above showing a little of their majestic bodies on occasion. Exhibitionist Kate Middleton, Duchess of Cornhole and wife of Prince William, is proof of that, having shown her regal tatas to the world and having flashed her panties in public on more than a few occasions. However, Her Majesty Queen Elizabeth II apparently frowns on mere commoners showing off their naughty bits, especially when the commoner in question is male and he's climbing down a bed sheet tied to furniture in the boudoir where her grandson \""sleeps with\"" the duchess. \""What was the bloke doing there, anyway?\"" one of the palace guards asked. \""I mean, he's naked, but for his left sock, and he's climbing out Kate's window when William is out of town. It seems suspect to me.\"" The queen suggested that the guard should \""keep his vulgar opinions to himself\"" unless he wants to visit the royal executioner in the Tower of London. All went well for the climber for ten feet or so, and then the man lost his grip, perhaps as a result of encountering semen, and plummeted twenty feet to the ground below. Buckingham Palace staunchly denies that the incident ever happened, despite the capture of the naked man's exploits on video, and police say no one has yet reported an injured or dead man on or near the palace. \""It's a hoax, most likely,\"" the duchess opined, \""for I would never frolic naked with anyone else but William, unless I were sunbathing au naturale in France or was walking down the street in a short skirt on a windy day.\"" Besides, although Kate is herself a commoner, she says \""I'm not common enough to sleep with a commoner.\"" Reportedly, however, Her Majesty is having the palace's locks changed and has ordered the royal seamstress to sew weights to the hems of the duchess' skirts. She may also have Kate \""fumigated.\""",ent_s
"Zachary Quinto remembers Leonard Nimoy on ""Conan""
Zachary Quinto shared a heartfelt tribute to his friend (and fellow Mr. Spock) Leonard Nimoy during an appearance Tuesday on ""Conan.""36PhotosLeonard Nimoy 1931-2015The actor who created the role of Spock on ""Star Trek"" was also a celebrated photographerThe actor, who played the half-human, half-Vulcan character in the rebooted ""Star Trek"" film franchise, told Conan O'Brien that he and Nimoy ""were very, very close.""""Losing him was really difficult, obviously, but I feel so grateful that I knew him and that he was such an instrumental figure in my life,"" he said of Nimoy, who died last month at the age of 83.  ""He stood for, and stands for, such an ideal,"" Quinto continued. ""The character [Spock], of course, but he imbued that character with so many of his finest qualities that he really carried that energy through his life. ""We should all be so lucky to live half as fulfilled a life as he lived,"" Quinto concluded. Watch his full tribute (with recollections from O'Brien, who worked with Nimoy when he appeared on an episode of ""The Simpsons"") below:",ent_t
"Medical marijuana bill gains momentum in Senate
A push to legalize medical marijuana at the federal level is gaining momentum in the Senate, drawing a growing roster of co-sponsors from both parties just over a week after it was unveiled. Though 23 states have legalized medical marijuana, the federal government classifies pot as a Schedule I narcotic, recognizing no appropriate medical uses for the drug. The Compassionate Access, Research Expansion, and Respect States (CARERS) Act, introduced last Tuesday by Sens. Kirsten Gillibrand, D-New York, Cory Booker, D-New Jersey, and Rand Paul, R-Kentucky, would reclassify marijuana as a Schedule II drug, providing dispensaries in states that permit medical marijuana with access to the banking system and potentially fueling greater medical research of the drug. Sen. Dean Heller, R-Nevada, signed onto the proposal last week, declaring in a statement, ""The time has come for the federal government to stop impeding the doctor-patient relationship in states that have decided their own medical marijuana policies.""""This bipartisan legislation puts Americans who are suffering first by allowing Nevada's medical marijuana patients, providers, and businesses that are in compliance with state law, to no longer be in violation of federal law and vulnerable to federal prosecution,"" he said. Heller's release noted that the bill would also allow doctors at Department of Veterans Affairs to prescribe medical marijuana as a form of treatment in states that allow it. Sen. Barbara Boxer, D-California, threw her support behind the measure on Wednesday. ""Senator Boxer is a strong supporter of California's medical marijuana law and she believes that patients, doctors and caregivers in states like California should be able to follow state law without fear of federal prosecution,"" Zachary Coile, Boxer's communications director, said in a statement. Boxer's fellow Californian, Democratic Sen. Dianne Feinstein, is on the fence about the proposal. She told Roll Call she remains concerned about the potency of some types of marijuana, and she'd like to see greater research into derivatives of the drug that provide the medical benefits but not the psychoactive effects. ""I think states can do what states can do. I think the federal law is another thing, and, you know I just hate to see this because there's marijuana, then there's marijuana,"" Feinstein said. ""There's very strong marijuana, and there's marijuana that isn't. And then there's marijuana that may be medically beneficial, and this is what we are trying to pursue."" As the bill gains steam, it still faces an uphill battle to passage in a Republican-dominated Congress. Senate Judiciary Committee Chairman Chuck Grassley, R-Iowa, is opposed to the measure, and he has said he's unlikely to schedule it for a hearing.""It's a matter of what are our priorities,"" Grassley told Roll Call. The senator said President Obama's recent comment that Congress could reclassify the drug if enough states decriminalize it ""absolutely won't"" affect his decision. At least one Republican on Grassley's committee, Arizona Sen. Jeff Flake, wasn't so sure. ""I think it does increase the pressure,"" Flake told Roll Call about Obama's suggestion. ""He's probably right...if you get to a majority of the states that are doing it, then people are going to say, 'What's Congress going to do? How can these states act in ways that are not congruent with federal law?'""",pol_t
"Apple Founder Steve Jobs Found Alive, Hiding Out In Jamaica
A set of tourists were shocked to see a man who looked suspiciously like one of their idols on the beaches of Rio Bueno, Jamaica. Jake Nestar and Stacey Kenely, who are self-proclaimed Apple fanatics, were enjoying the sun and sand of Jamaica when they noticed a man who looked suspiciously like Apple Founder Steve Jobs. On further investigation, the two realized it was, in fact, the long-thought dead Jobs, and celebrated with such gusto that they blew the entrepreneur’s cover.“We were just so excited to see the man who changed our lives so much,” said Nester. “I was like, ‘Babe, is that him?’ and she was all ‘Jake, you’re high.’ But I was pretty sure. Then she started looking up pictures of him on her iPad. Then she was all ‘OMG, Babe, that’s him.’ He was the dude.”According to onlookers, Nester then ran up to Jobs, bragging about his new Apple products. The outburst caught the attention of some other tourists. Quickly, a mob formed around Jobs, and within minutes, news reporters were on the scene.With his cover blown, Jobs had no choice but to speak on the matter.“I was simply trying to enjoy my life,” the marketing genius said. “I had come to the beach thinking it was low season for tourists. I didn’t think anyone would recognize me.”Jobs then explained his reason for the faked death. “I was under so much stress the last decade. I knew the only way people would stop constantly hassling me for ideas was if they thought I was dead. Do you have any idea how nice it is to not own personal electronic products? I’ve been free ever since the world stopped bothering me.”The Apple founder did seem to have a relaxed and calm demeanor when speaking to reporters. The Island lifestyle did seem to agree with his new want in life.“Nobody cares who I am down here. Nobody wants to bother me about what the new innovation or strategy will be. They just enjoy sitting and chatting, smoking weed or drinking rum. We all go down to the weekly Tupac and Biggie concerts and enjoy life without computers, cell phones, pads, pods, and other devices that suck the life out of you.”When asked if he had any remorse about unveiling Job’s secret, Nester replied, “Did he say Tupac and Biggie concerts?”",tech_s
"Timbuktu' director wants more cinema from West Africa
The Oscar nomination of ""Timbuktu"", a film about the occupation of the Malian desert town by al Qaeda-linked Islamists in 2012, should not mask the lack of established cinema from West Africa, its director said.Up for the Best Foreign Language Film at Sunday's ceremony, Abderrahmane Sissako's film has already won two awards at this year's Cannes Film Festival and seven at the Cesar Award's, France's equivalent of the Oscars.It tells how residents in the ancient town, which has a rich history as a seat of Islamic learning, resisted the harsh Islamic law imposed by militants, whose decrees ranged from bans on music and football to stoning those accused of adultery.Despite being home to FESPACO, a biennial film festival held in Burkina Faso, and Nollywood, Nigeria's cinema industry that churns out hundreds of films every years, Sissako called for West African leaders to do to more to promote regional film making    ""Being nominated is great for the continent and Mauritania ... (But) You cannot say that cinema is established because there is a festival,"" Sissako told Reuters, speaking from the United States.""When you have countries that produce one film a year or one film every three years, which is the reality of African nations, cinema is not well established,"" he said.Sissako was born in Mauritania but spent some of his school years in Mali. Based in France, much of his work focuses on Africa and issues from across the continent.""Timbuktu"" was shot in the eastern deserts of Mauritania, near the border with Mali, where the Islamists were scattered in early 2013 by a French military intervention but there are still sporadic attacks as militants mount a resurgence.Sissako's crew received protection from Mauritania's security forces but he said that cinema, and culture in general, was still delegated to being a secondary issue for governments across in the region.""There is a lack of political vision in nearly all the countries,"" he said. ""Wherever there is no culture it is not a good thing.""His film highlights defiant individuals and the contradictions of the Islamists.An imam argues against the interpretation of Islam imposed by the mix of foreign and local gunmen. A woman fishseller refuses to wear gloves, as requested. Boys play a football match with an imaginary ball as the sport has been banned.Meanwhile, one Islamist secretly smokes a cigarette behind a sand dune while others debate the skills of top footballers.The resistance ordinary Malians show in the film highlights how, culturally, West African societies largely reject the form of Islam espoused by extremists.""We have to be clear - the salafists are a step backwards for society,"" Sissako said. ""This is not something that we can resolve in two years. It is much more complex than that."" ""You should not minimize what NATO did in Libya. This was a major factor yet there has been a silence over this,"" he said, referring to the West's support for rebels who ousted the late leader Muammar Gaddafi.",ent_t
"Will Self claims he could have written Kate Bush’s songs – ‘only better’‏
Having already dismissed George Orwell’s contributions to twentieth century literature, as ‘mediocre’, Mr. Self has humbly explained why other artistic icons are not worthy to be considered a genius. To this end, the 6′ 5″ Playboy journalist has announced his plans to tour with an album of his own compositions and prove that he is ‘…the greatest female singer-songwriter of his generation’. Author of nine novels and two pop-up books, Mr. Self has made very few forays into the music world but has explored enough drugs to ‘…have written ten Sgt. Pepper’s!’ In deconstructing the back catalogue of Kate Bush, Mr. Self was dismissive of her work: ‘All you need to do is flail your arms around while wearing a leotard, making fatuous literary allusions. Well, I’ve been doing that last part for years. How hard can it be to find a unitard in my size?’ While Kate Bush has garnered rave reviews for her current stage show and has eight albums in the Official UK Albums Chart simultaneously, only Mr. Self can claim to have made Ulrika Jonsson smile with a ‘…terribly clever pun’. His agent confirmed. ‘Bush is overrated. Her album covers are too obvious. Will is going down a much more artistic route. Something like Sting’s semi-naked photo – you know the one – him, holding a lute while his wife does yoga. Classy. None of that hippy-trippy stuff. A bit of culture. Will brews his own coffee, smokes a pipe and takes long meaningful walks. He’s a proper musician. None of that dicking around with instruments’. One Rock n’ Roll historian commented: ‘Ms Bush has shunned publicity, while Mr. Self is an actual television personality – with gravitas, a sophisticated monotone and the face of Chris Langham. You’re nobody unless you’re on a panel show. It was only a matter of time until he eclipsed all other artists. And he’s already penned a Bush homage – ‘The Man with his Head up his Arse’.",ent_s
"Obama says disagrees with Texas judge's immigration ruling
President Barack Obama said on Tuesday he disagreed with a Texas judge's ruling to block executive actions that shield millions of illegal immigrants from deportation and said he believed the issue would be resolved in the White House's favor.""With respect to the ruling ... I disagree with it,"" Obama told reporters in the Oval Office. ""I think the law is on our side and history is on our side."" ",pol_t
"EPA, President Obama Seek To Outlaw Gasoline, Diesel Engines In Automobiles
 For over a century, Americans have been getting from place to place by relying on crude oil and fossil fuels. You might say that it is a part of our culture; gas guzzling hot rods and slicked back hair have given way to gas guzzling Hummers and slicked back hair.  But now, a new emergency legislation, penned by a group of up-and-comers at the EPA, will make gasoline engines a thing of the past.EPA Special Studies Chairman, Akiko Kim, explained the need for the new law in a largely ignored Congressional Hearing back in October of this year.“You have all these midlife crisis Corvettes, and these Over-Testosteroned off-road trucks out there, just belching carbon into the air. These people are Mongoloids. They are killing their own children and they don’t even care,” said Kim. “There is no accountability. I wish we could put them all in FEMA camps. Sadly, we can’t, so the next best thing should be done, and that is to take away their toys in an attempt to destroy the life they lead.”The law would see all cars that do not pass emissions tests (including classics, which have been exempt up to this point) impounded if they are operated on public property. This new ruling would start in July 2015, the start of the government’s fiscal calendar. The auto industry would also be banned from releasing any further gasoline models.Kim thinks it is a good start. ”These rich guys just cruising around in their classic gas guzzlers are gonna get a wake up call. And these automakers who have been killing us for years will find themselves out of business if they do not adapt. Electric and alternative-fuel vehicles are the way of the future, and they should rapidly become the way of the present, too.”“I don’t care ’bout them fuckin’ tree huggers,” said long-time diesel enthusiast Joe Lee Roberts. “I’ll roll coal on the EPA lawn, and if they don’t like it, we can schedule a second amendment meeting.”President Obama, who is known to be an avid supporter of all things environmentally friendly, is expected to sign the bill into law after the Christmas holiday break.",pol_s
